order_id,user_id,shop_id,status,created_time,paid_time,cancel_time,refund_time,gross_amount,discount_rate,discount_amount,coupon_amount,freight_amount,receivable_amount,paid_amount,refund_amount,net_paid_amount,sum_item_qty,distinct_sku_cnt
54c57ab0-7718-4f09-89c5-1b9b76a8b452,2555,141,PAID,2026-02-01 22:40:57.646143,2026-02-01 23:39:57.646143,,,1362,0.1118,152,7,11,1214,1214,0,1214,5,2
9f738903-73df-4b8a-b848-f71884b5bd6c,116,187,PAID,2025-12-21 20:58:51.646195,2025-12-21 22:32:51.646195,,,5976,0.0405,242,18,4,5720,5720,0,5720,9,2
55e23737-a368-4b17-ad79-3dc2e835eb44,844,147,PAID,2026-01-11 21:44:18.646222,2026-01-11 21:58:18.646222,,,4155,0.066,274,24,8,3865,3865,0,3865,5,1
78b09f3e-f3c5-4ba0-849e-a985919a6c57,3879,44,UNPAID,2026-01-16 10:22:49.646240,,,,5370,0.033,177,27,0,5166,0,0,0,5,1
c25ba16c-e75e-470e-85a9-06fab7582382,2649,19,REFUNDED_PART,2026-01-27 23:37:48.646252,2026-01-28 01:21:48.646252,,2026-02-12 01:21:48.646252,4509,0.0755,340,12,15,4172,4172,1171,3001,5,2
41582e94-8135-40c8-8552-5c85c5ae9ca1,4277,63,UNPAID,2025-11-29 10:28:22.646270,,,,16131,0.1866,3011,0,6,13126,0,0,0,23,7
e8155b2b-4978-4e8a-aaa7-b96b09e0eb36,3622,71,PAID,2025-12-01 06:57:35.646320,2025-12-01 07:40:35.646320,,,3633,0.1214,441,1,8,3199,3199,0,3199,3,1
23c7b1c8-fd03-40dc-b465-e47047487cfd,3922,77,REFUNDED_FULL,2025-11-16 09:02:52.646333,2025-11-16 09:38:52.646333,,2025-11-18 09:38:52.646333,17460,0.0887,1548,22,1,15891,15891,15891,0,18,7
e4e99b94-cbbd-45e3-8d1c-0ce7db4a3dc6,2575,23,PAID,2026-01-20 18:24:33.646362,2026-01-20 19:43:33.646362,,,8336,0.1458,1215,2,5,7124,7124,0,7124,13,4
024f83c1-646a-4ac6-813f-13114181d00f,3633,11,PAID,2025-11-17 23:51:26.646383,2025-11-18 00:44:26.646383,,,741,0.1121,83,3,10,665,665,0,665,1,1
0ea16ff6-139a-4f38-b049-676daf6311d9,3820,114,PAID,2025-12-04 01:24:11.646394,2025-12-04 01:36:11.646394,,,284,0.0635,18,20,0,246,246,0,246,2,1
df716f50-c78d-4e9a-9cbf-06b085dd3344,1388,161,PAID,2025-12-29 01:30:00.646405,2025-12-29 01:41:00.646405,,,8574,0.1767,1515,5,9,7063,7063,0,7063,12,5
b8b672bc-8cfb-4dd7-9b81-2ca8f5b01261,2125,140,PAID,2025-12-14 05:19:48.646428,2025-12-14 06:34:48.646428,,,10489,0.0311,327,18,6,10150,10150,0,10150,6,2
aab289b6-3d66-4ffd-b5b6-6858a7f26811,3555,68,PAID,2026-01-09 10:42:28.646445,2026-01-09 11:26:28.646445,,,16912,0.095,1607,14,10,15301,15301,0,15301,14,4
9f9d435d-9f77-492b-beb4-9f3dbe6132a5,3050,113,PAID,2026-02-10 06:31:25.646464,2026-02-10 08:01:25.646464,,,976,0.0951,93,10,3,876,876,0,876,1,1
2a0ba709-1214-4792-82a1-bb59b71eab0a,1533,184,PAID,2025-12-16 22:21:11.646475,2025-12-16 22:45:11.646475,,,11151,0.06,669,29,7,10460,10460,0,10460,16,4
64846c9e-446f-4da3-a684-41dd06440289,4154,25,PAID,2026-01-10 21:14:06.646495,2026-01-10 22:06:06.646495,,,13182,0.0666,878,30,1,12275,12275,0,12275,10,3
715d4822-b0f7-4cbf-aca0-8717aa87d04c,741,62,PAID,2026-01-01 01:33:34.646511,2026-01-01 02:24:34.646511,,,280,0.0603,17,2,5,266,266,0,266,2,1
7a6695a3-7c38-4794-bd7d-7cb7bd7d17b0,1935,176,PAID,2026-01-14 12:38:55.646521,2026-01-14 14:06:55.646521,,,10099,0.1826,1844,21,12,8246,8246,0,8246,9,3
7e9e776d-4b9a-40ee-90aa-df3578ff98fb,3797,142,PAID,2026-02-02 04:08:58.646536,2026-02-02 04:25:58.646536,,,13380,0.1068,1429,11,15,11955,11955,0,11955,8,2
878293e8-3ac7-47f9-9705-e8f52ca5159f,4805,8,CANCELLED,2026-01-23 09:41:56.646551,,2026-01-23 11:20:56.646551,,2999,0.046,138,15,6,2852,0,0,0,5,2
2cb4431b-0962-45cc-a9d5-2d120e9a38bf,363,44,PAID,2026-01-02 04:16:38.646564,2026-01-02 05:40:38.646564,,,4116,0.1351,556,15,1,3546,3546,0,3546,3,1
b7252f4c-fba0-4c3c-a8ad-0399d199ed85,2139,193,PAID,2026-01-25 03:45:44.646574,2026-01-25 05:13:44.646574,,,7876,0.1373,1081,0,15,6810,6810,0,6810,8,3
a9d2b008-a84b-455f-85fe-fe82e92da43f,3291,84,UNPAID,2025-12-22 08:50:37.646591,,,,11920,0.1741,2075,2,4,9847,0,0,0,15,4
